lexicog.UsageExample	lexinfo.note	rdfs.label	rdfs.value.la	rdfs.value.pt	skos.note
usageExample:n00944.sg01.s99.u01	Cic.	tribuni aerarii	 Tribuni aerarii 	 Thesoureiros ou pagadores das tropas 	
usageExample:n00944.sg01.s99.u02	Varr.	aerarii milites	 Aerarii milites 	 Soldados pagos 	
usageExample:n00945.sg01.s99.u01	Cic.	aeratus homo	 Aeratus homo 	 Homem endividado , ou ( segundo outros ) rico 	
usageExample:n00967.sg01.s99.u01	Cic.	in aere alieno esse	 In aere alieno esse 	 Estar endividado . 	
usageExample:n00967.sg01.s99.u02	Cic.	aes alienum contrahere	 Aes alienum contrahere 	 Estar endividado . 	
usageExample:n00967.sg01.s99.u03	Cic.	aes alienum facere	 Aes alienum facere 	 Estar endividado . 	
usageExample:n00967.sg01.s99.u04	Cic.	aes alienum cogere	 Aes alienum cogere 	 Estar endividado . 	
usageExample:n00967.sg01.s99.u05	Sall.	aes alienum conflare	 Aes alienum conflare 	 Estar endividado 	
usageExample:n00982.sg01.s99.u01	Cic.	aestimare litem	 Aestimare litem 	 Avaliar a porção de dinheiro , que o réo deve pagar , ou os damnos , que causou , para os pagar 	
usageExample:n00993.sg01.s99.u01	Cic.	aestus ulceris	 Aestus ulceris 	 Inflammação de huma chaga 	
usageExample:n00993.sg01.s99.u02	Virg.	irarum aestu fluctuare	 Irarum aestu fluctuare 	 Abafar de colera 	
usageExample:n01010.sg01.s99.u01	Virg.	consectus aeuo	 Consectus aevo 	 Carregado de annos , de idade provecta 	
usageExample:n01026.sg01.s99.u01	Vell. Pat.	inopia affectissimi	 Inopia affectissimi 	 Reduzidos a extrema penuria 	
usageExample:n01027.sg01.s99.u01	Cic.	afferre sini manus	 Afferre sini manus 	 Matar - se pelas proprias mãos 	
usageExample:n01028.sg01.s99.u01		afficere laetitia	 Afficere laetitia 	 Alegrar 	
usageExample:n01028.sg01.s99.u02		afficere honore	 Afficere honore 	 honrar 	
usageExample:n01028.sg01.s99.u03		afficere delectatione	 Afficere delectatione 	 deleitar 	
usageExample:n01028.sg01.s99.u04		afficere dolore	 Afficere dolore 	 affligir 	
usageExample:n01028.sg01.s99.u05		afficere muneribus	 Afficere muneribus 	 premiar 	
usageExample:n01028.sg01.s99.u06		afficere laude	 Afficere laude 	 premiar 	
usageExample:n01028.sg01.s99.u07		afficere morte	 Afficere morte 	 matar 	
usageExample:n01028.sg01.s99.u08	& c.	afficere uerberibus	 Afficere verberibus 	 açoutar 	& c.
usageExample:n01033.sg01.s99.u01	Cic.	affinis culpae	 Affinis culpae 	 Complice , parcial do delicto 	
usageExample:n01074.sg01.s99.u01	Plin.	maeander plurimis affusus oppidis	 Maeander plurimis affusus oppidis 	 O Meandro , que banha com as suas agoas muitas Cidades 	
usageExample:n01078.sg01.s99.u01		age dum	 Age dum 	 Eia , valor , vamos , & c . 	
usageExample:n01078.sg01.s99.u02		age nunc	 age nunc 	 Eia , valor , vamos , & c . 	
usageExample:n01078.sg01.s99.u03		age porro	 age porro 	 Eia , valor , vamos , & c . 	
usageExample:n01078.sg01.s99.u04		age fane	 age fane 	 Eia , valor , vamos , & c . 	
usageExample:n01078.sg01.s99.u05		age ainquam	 age ainquam 	 Eia , valor , vamos , & c . 	
usageExample:n01078.sg01.s99.u06		age sis	 age sis 	 Eia , valor , vamos , & c 	
usageExample:n01116.sg01.s99.u01	Virg.	agmina caudae	 Agmina caudae 	 Roscas na cauda da serpente 	
usageExample:n01122.sg01.s99.u01	Plin.	membra agnata	 Membra agnata 	 Membros suprabundantes , que nascem demais 	
usageExample:n01131.sg01.s99.u01	Cic.	agere furti	 Agere furti 	 Accusar de furto 	
usageExample:n01131.sg01.s99.u02	Cic.	agere forum	 Agere forum 	 Administrar a justiça 	
usageExample:n01178.sg01.s99.u01	Caes.	albente coelo	 Albente coelo 	 Ao romper do dia 	
usageExample:n01192.sg01.s99.u01	Plin.	album oui	 Album ovi 	 Clara do ovo 	
usageExample:n01325.sg01.s99.u01	(sc. scelere) Ter.	alligare se furti	 Alligare se furti 	 Fazer - se réo de furto 	
usageExample:n01349.sg01.s99.u01	Hor.	honor alit artes	 Honor alit artes 	 A honra faz subsistir as artes 	
usageExample:n01356.sg01.s99.u01	Mart.	alpha penulatorum	 Alpha penulatorum 	 Principal entre os mendigos 	
usageExample:n01379.sg01.s99.u01	Virg.	amant alterna (sc. uerba.) camoenae	 Amant alterna ( sc . verba . ) camoenae 	 As Musas gostão de que se cante alternadamente 	
usageExample:n01379.sg01.s99.u02	Caes.	alternis annis aegrotat	 Alternis annis aegrotat 	 Hum anno sim , outro não adoece 	
usageExample:n01387.sg01.s99.u01	Plaut.	dos altilis	 Dos altilis 	 Dote avultado , rico 	
usageExample:n01400.sg01.s99.u01	Hor.	altum (somnum) dormire	 Altum ( somnum ) dormire 	 Dormir a sono solto 	
usageExample:n01400.sg01.s99.u02	Cic.	in altum (mare) abstrahere	 In altum ( mare ) abstrahere 	 Levar para o mar alto 	
usageExample:n01400.sg01.s99.u03	Virg.	ab alto (coelo) demittere	 Ab alto ( coelo ) demittere 	 Enviar dos altos Céos , & c 	
usageExample:n01477.sg01.s99.u01	Cic.	ambitus uerborum	 Ambitus verborum 	 Periodo 	
usageExample:n01607.sg01.s99.u01	Hor.	proiicit ampullas, & sesquipedalia uerba	 Projicit ampullas , & sesquipedalia verba 	 Deixa os termos empollados , e as palavras de pé e meio 	
usageExample:n01617.sg01.s99.u01	Varr.	ad amussim	 Ad amussim 	 Perfeitamente 	
usageExample:n01626.sg01.s99.u01	Cic.	errauit, an potius insaniuit?	 Erravit , an potius insanivit ? 	 Elle errou , ou mais de pressa enlouqueceo ? 	
usageExample:n01626.sg02.s99.u02	Cic.	est id quidem magnum, & haud scio an maximum	 Est id quidem magnum , & haud scio an maximum 	 He na verdade isto huma grande cousa , e não sei se diga a maior de todas , & c 	
usageExample:n01662.sg01.s99.u01	Plin.	ancilans sidus	 Ancilans sidus 	 Astro benigno , de favoravel influxo 	
usageExample:n01717.sg01.s99.u01	Cic.	in augustum adduci	 In augustum adduci 	 Achar - se em extrema miseria . 	
usageExample:n01717.sg01.s99.u02	Cic.	in augustum uenire	 In augustum venire 	 Achar - se em extrema miseria . 	
usageExample:n01717.sg01.s99.u03	Cic.	in augustum cogi	 In augustum cogi 	 Achar - se em extrema miseria 	
usageExample:n01749.sg01.s99.u01	Plaut.	mi animale	 Mi animale 	 Meu coraçãozinho 	
usageExample:n01750.sg01.s99.u01	Cic.	animi causa	 Animi causa 	 Por divertimento 	
usageExample:n01750.sg01.s99.u02	Cic.	animis cadere	 Animis cadere 	 Desanimar - se 	
usageExample:n01750.sg01.s99.u03	Plaut.	mi anime	 Mi anime 	 Meu caro amigo , meu coração 	
usageExample:n01799.sg01.s99.u01	Plaut.	ansam quaerere	 Ansam quaerere 	 Buscar occasião 	
usageExample:n01800.sg01.s99.u01	Plaut.	ansatus homo	 Ansatus homo 	 Homem , que tem as mãos postas nas ilhargas 	
usageExample:n01820.sg01.s99.u01	Sen.	in antecessum	 In antecessum 	 Anticipadamente , d ' antemão 	
usageExample:n01910.sg01.s99.u01	Cic.	antiqui homines	 Antiqui homines 	 Homens sinceros , e de grande probidade , bem como os antigos . 	
usageExample:n01910.sg01.s99.u02	Cic.	homines antiqui officii	 homines antiqui officii 	 Homens sinceros , e de grande probidade , bem como os antigos 	
usageExample:n02023.sg01.s99.u01	Ter.	appellere animum ad uxorem	 Appellere animum ad uxorem 	 Cuidar em tomar mulher 	
usageExample:n02090.sg01.s99.u01	Hor.	haec in apricum proferet aetas	 Haec in apricum proferet aetas 	 O tempo patenteará estas cousas 	
usageExample:n02090.sg01.s99.u02	Pers.	senex apricus	 Senex apricus 	 Velho amigo do soalheiro 	
usageExample:n02285.sg01.s99.u01	Plin.	argentum uiuum	 Argentum vivum 	 Azougue 	
usageExample:n02298.sg01.s99.u01	Catul.	argutatio quassa lecti tremuli	 Argutatio quassa lecti tremuli 	 Som ou ranger do leito quando treme 	
usageExample:n02302.sg01.s99.u01	Cic.	argutiae digitorum	 Argutiae digitorum 	 Movimento expressivo com os dedos 	
usageExample:n02302.sg01.s99.u02	Plin.	argutiae uultus	 Argutiae vultus 	 Viveza do semblante 	
usageExample:n02354.sg01.s99.u01	Sen. Tr.	armiferum aruum	 Armiferum arvum 	 Campo , que produzio homens armados , nascidos dos dentes da serpente , os quaes Jason semeou 	
usageExample:n02372.sg01.s99.u01	Cic.	arare ex agro frumentum	 Arare ex agro frumentum 	 Recolher o pão do campo 	
usageExample:n02372.sg01.s99.u02	Virg.	arare aequor	 Arare aequor 	 Navegar 	
usageExample:n02459.sg01.s99.u01	Mart.	haeres ex asse	 Haeres ex asse 	 Herdeiro universal 	
usageExample:n02459.sg01.s99.u02	Hor.	ad assem omnia perdere	 Ad assem omnia perdere 	 Perder tudo até o derradeiro real 	
usageExample:n02468.sg01.s99.u01	Liv.	ascendere equum	 Ascendere equum 	 Montar a cavallo . 	
usageExample:n02468.sg01.s99.u02	Liv.	ascendere in equum	 Ascendere in equum 	 Montar a cavallo 	
usageExample:n02510.sg01.s99.u01	Suet.	asper nummus	 Asper nummus 	 Moeda cunhada de fresco 	
usageExample:n02510.sg01.s99.u02	Virg.	uasa aspera signis	 Vasa aspera signis 	 Vasos com figuras de relevo 	
usageExample:n02514.sg01.s99.u01	Plin.	aspergere salem carnibus	 Aspergere salem carnibus 	 Salpicar a carne . 	
usageExample:n02514.sg01.s99.u02	Plin.	aspergere carnes sale	 Aspergere carnes sale 	 Salpicar a carne 	
usageExample:n02514.sg01.s99.u03	Cic.	aspergere labeculam alicui	 Aspergere labeculam alicui 	 Desacreditar alguem . 	
usageExample:n02514.sg01.s99.u04	Cic.	aspergere labem dignitati alicuius	 Aspergere labem dignitati alicujus 	 Desacreditar alguem 	
usageExample:n02514.sg01.s99.u05	Cic.	aspergere aliquid molestiae	 Aspergere aliquid molestiae 	 Motivar algum leve desgosto 	
usageExample:n02530.sg01.s99.u01	Val. Flac.	aspiramen formae	 Aspiramen formae 	 Galhardia , gentileza 	
usageExample:n02546.sg01.s99.u01	Plin.	assectatio coeli	 Assectatio coeli 	 Observação dos astros 	
usageExample:n02589.sg01.s99.u01	Virg.	assidue uenire	 Assidue venire 	 Vir a miudo , ou muitas vezes 	
usageExample:n02640.sg01.s99.u01	Plin.	aster samius	 Aster Samius 	 Genero de terra medicinal na Ilha de Samos 	
usageExample:n02652.sg01.s99.u01	Plaut.	astare alicui contra	 Astare alicui contra 	 Resistir a alguem 	
usageExample:n02666.sg01.s99.u01	Plaut.	homo furti se astringet	 Homo furti se astringet 	 Este homem commetterá algum furto 	
usageExample:n02853.sg01.s99.u01	Vall. Pat.	auersa castrorum	 Aversa castrorum 	 A parte posterior do arraial 	
usageExample:n02854.sg01.s99.u01	Cic.	auertere se a sermone alicuius	 Avertere se a sermone alicujus 	 Não querer dar ouvidos a alguem 	
usageExample:n02902.sg01.s99.u01	Virg.	aura auri	 Aura auri 	 Resplandor do ouro 	
usageExample:n02902.sg01.s99.u02	Virg.	auras uitales carpere	 Auras vitales carpere 	 Viver 	
usageExample:n02927.sg01.s99.u01	Cic.	auriger tauris	 Auriger tauris 	 Touro com as pontas douradas 	
usageExample:n02933.sg01.s99.u01	Plaut.	auritum facere populum	 Auritum facere populum 	 Fazer o povo attento 	
usageExample:n02933.sg01.s99.u02	Plaut.	auritus testis	 Auritus testis 	 Testemunha de ouvida 	
usageExample:n02934.sg01.s99.u01	Ovid.	sub aurora	 Sub aurora 	 De madrugada , ao romper da manhã 	
usageExample:n02974.sg01.s99.u01	Plin.	aequinoctium autumnum	 Aequinoctium autumnum 	 Equinocio autumnal 	
usageExample:n03012.sg01.s99.u01	Juv.	bacchanalia uiuere	 Bacchanalia vivere 	 Viver entregue aos vicios , e na maior dissolução 	
usageExample:n03019.sg01.s99.u01	Ter.	bacchari in aliquem	 Bacchari in aliquem 	 Irar - se contra alguem , dizer - lhe injurias 	
usageExample:n03082.sg01.s99.u01	Hor.	barathrum macelli	 Barathrum macelli 	 Homem muito comilão 	
usageExample:n03084.sg01.s99.u01	Plaut.	uertit barbare	 Vertit barbare 	 Traduzio em Latim 	
usageExample:n03087.sg01.s99.u01	Lucr.	barbaricae uestes	 Barbaricae vestes 	 Vestidos bordados á moda da Frygia 	
usageExample:n03119.sg01.s99.u01	Plaut.	interii basilice	 Interii basilice 	 Estou totalmente perdido 	
usageExample:n03149.sg01.s99.u01	Virg.	bellator equus	 Bellator equus 	 Cavallo da batalha 	
usageExample:n03149.sg01.s99.u02	Virg.	bellator ensis	 Bellator ensis 	 Espada do combate 	
usageExample:n03154.sg01.s99.u01	Cic.	bellisime nauigare	 Bellisime navigare 	 Navegar felicissimamente 	
usageExample:n03156.sg01.s99.u01	Liv.	bellicum canere	 Bellicum canere 	 Tocar a investir , dar sinal para o combate 	
usageExample:n03156.sg01.s99.u02	Cic.	bellicum canere.	 Bellicum canere . 	 Exercitar discordia , sedição , disputa , revolta 	
usageExample:n03169.sg01.s99.u01	Cic.	gerere bellum cum aliquo	 Gerere bellum cum aliquo 	 Andar em guerra com alguem , ou pelejar na companhia de alguem com as forças unidas 	
usageExample:n03169.sg01.s99.u02	Hor.	indicere bellum uentri	 Indicere bellum ventri 	 Declarar guerra ao ventre , isto he , não comer , nem beber 	
usageExample:n03179.sg01.s99.u01	Cic.	bene mane	 Bene mane 	 Muito de madrugada 	
usageExample:n03179.sg01.s99.u02	Cic.	bene nummatus	 Bene nummatus 	 Muito rico 	
usageExample:n03186.sg01.s99.u01	Ter.	benefacere alicui	 Benefacere alicui 	 Fazer beneficios a alguem . 	
usageExample:n03186.sg01.s99.u02	Plaut.	benefacere erga aliquem	 Benefacere erga aliquem 	 Fazer beneficios a alguem 	
usageExample:n03193.sg01.s99.u01	Cic.	meo beneficio	 Meo beneficio 	 Por meu respeito , por minha intervenção 	
usageExample:n03196.sg01.s99.u01	Cic.	benemeritus de republica	 Benemeritus de Republica 	 O que tem feito grandes serviços á Republica 	
usageExample:n03215.sg01.s99.u01	Sen.	bestiarius ludus	 Bestiarius ludus 	 Combate das féras 	
usageExample:n03234.sg01.s99.u01	Hor.	bibere aure	 Bibere aure 	 Ouvir com summa attenção . 	
usageExample:n03234.sg01.s99.u02	Prop.	bibere suspensis auribus	 Bibere suspensis auribus 	 Ouvir com summa attenção 	
usageExample:n03234.sg01.s99.u03	Virg.	bibere longum amorem	 Bibere longum amorem 	 Deixar - se penetrar altamente do amor , recebello no intimo da alma . 	
usageExample:n03234.sg01.s99.u04	Stat.	bibere ignem totis ossibus	 Bibere ignem totis ossibus 	 Deixar - se penetrar altamente do amor , recebello no intimo da alma 	
usageExample:n03234.sg01.s99.u05	Plaut.	bibere moerorem	 Bibere moerorem 	 Soffrer com tolerancia a sua magoa 	
usageExample:n03234.sg01.s99.u06	Virg.	sat prata biberunt	 Sat prata biberunt 	 Assás tem bebido os prados 	
