ontolex.LexicalSense	lexicog.usageExample	lexinfo.frequency	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n00067.sg01.s01							O furto de gado		 O furto de gado 	
lexicalSense:n00068.sg01.s01							Desde principio		 Desde principio 	
lexicalSense:n00069.sg01.s01							Sem fazer testamento		 Sem fazer testamento 	
lexicalSense:n00070.sg01.s01							Desde menino		 Desde menino 	
lexicalSense:n00071.sg01.s01							O mesmo		 O mesmo 	
lexicalSense:n00072.sg01.s01							Desdo começo		 Desdo começo 	
lexicalSense:n00073.sg01.s01							Deyxar o proueyto que estâ certo		 Deyxar o proueyto que estâ certo 	
lexicalSense:n00074.sg01.s01							Sair do officio		 Sair do officio 	
lexicalSense:n00075.sg01.s01							Morrer		 Morrer 	
lexicalSense:n00076.sg01.s01							Desaparecer		 Desaparecer 	
lexicalSense:n00077.sg01.s01							Tornar-se a fazenda em cinza & em fumo		 Tornar - se a fazenda em cinza & em fumo 	
lexicalSense:n00078.sg01.s01							A partida. ou ida		 A partida . ou ida 	
lexicalSense:n00079.sg01.s01							Tirar por sentença		 Tirar por sentença 	
lexicalSense:n00080.sg01.s01							Apartar. ou desjungir os boys		 Apartar . ou desjungir os boys 	
lexicalSense:n00081.sg01.s01							O mesmo		 O mesmo 	
lexicalSense:n00082.sg01.s01							Negar com juramento		 Negar com juramento 	
lexicalSense:n00083.sg01.s01							O negar com juramento		 O negar com juramento 	
lexicalSense:n00084.sg01.s01							Desmamar. ou destetar		 Desmamar . ou destetar 	
lexicalSense:n00085.sg01.s01							Escauar as vinhas		 Escauar as vinhas 	
lexicalSense:n00086.sg01.s01							A esquaua		 A esquaua 	
lexicalSense:n00087.sg01.s01							Mandar fora a outrem		 Mandar fora a outrem 	
lexicalSense:n00088.sg01.s01			latine			caecitas & inconsiderantia. 	Por cousa desatentada	 caecitas & inconsiderantia . 	 Por cousa desatentada 	
lexicalSense:n00089.sg01.s01							Gastar em golodices		 Gastar em golodices 	
lexicalSense:n00090.sg01.s01							Lauar		 Lauar 	
lexicalSense:n00091.sg01.s01							A lauadura		 A lauadura 	
lexicalSense:n00092.sg01.s01							Ser desemelhante. 		 Ser desemelhante . 	Horatius.
lexicalSense:n00093.sg01.s01							A tia irmaã da quarta auô		 A tia irmaã da quarta auô 	
lexicalSense:n00094.sg01.s01		lexinfo:rarelyUsed				idem quod mitto. 	Enuiar. 	 idem quod mitto . 	 Enuiar . 	rarissimum.
lexicalSense:n00095.sg01.s01		lexinfo:rarelyUsed					Matar. 		 Matar . 	rarum.
lexicalSense:n00096.sg01.s01							Negar		 Negar 	
lexicalSense:n00097.sg01.s01							O negar		 O negar 	
lexicalSense:n00098.sg01.s01							O quarto neto		 O quarto neto 	
lexicalSense:n00099.sg01.s01							A quarta neta		 A quarta neta 	
lexicalSense:n00100.sg01.s01							Negar acenando. 		 Negar acenando . 	
lexicalSense:n00101.sg01.s01							Borrar		 Borrar 	
lexicalSense:n00102.sg01.s01							A borradura		 A borradura 	
lexicalSense:n00103.sg01.s01							Ir-se do vso		 Ir - se do vso 	
lexicalSense:n00104.sg01.s01							Cousa borrada. ou ida do vso		 Cousa borrada . ou ida do vso 	
lexicalSense:n00105.sg01.s01							A loba. ou roupão		 A loba . ou roupão 	
lexicalSense:n00106.sg01.s01							Amaldiçoar		 Amaldiçoar 	
lexicalSense:n00107.sg01.s01							Cousa amaldiçoada. ou escomungada		 Cousa amaldiçoada . ou escomungada 	
lexicalSense:n00108.sg01.s01							Homem pequenino. & desmazalado. 		 Homem pequenino . & desmazalado . 	Prouerb. como he ho escarauelho.
lexicalSense:n00109.sg01.s01							Desque ho mundo he mundo		 Desque ho mundo he mundo 	
lexicalSense:n00110.sg01.s01							Desque Deos veyo ao mundo		 Desque Deos veyo ao mundo 	
lexicalSense:n00111.sg01.s01							Desdo tempo antiquissimo. 		 Desdo tempo antiquissimo . 	porque os pouos Aborigenes forão os que primeyro pouoarão a Italia.
lexicalSense:n00112.sg01.s01							Mouer a femea		 Mouer a femea 	
lexicalSense:n00113.sg01.s01							Cousa mouida		 Cousa mouida 	
lexicalSense:n00114.sg01.s01							O mesmo		 O mesmo 	
lexicalSense:n00115.sg01.s01							O mouito		 O mouito 	
lexicalSense:n00116.sg01.s01							O mouito de pouco tempo		 O mouito de pouco tempo 	
lexicalSense:n00117.sg01.s01							Desdo começo ate o cabo. 		 Desdo começo ate o cabo . 	Prouerbium. Diz-se porque os gentios começauão a comer em ouos. & acabauão em maçaãs.
lexicalSense:n00118.sg01.s01							O tio jrmão do quarto auoo		 O tio jrmão do quarto auoo 	
lexicalSense:n00119.sg01.s01							Raspar. ou rapar		 Raspar . ou rapar 	
lexicalSense:n00120.sg01.s01							Cousa rapada		 Cousa rapada 	
lexicalSense:n00121.sg01.s01							A rapadura		 A rapadura 	
lexicalSense:n00122.sg01.s01							Sem causa. ou sem proposito		 Sem causa . ou sem proposito 	
lexicalSense:n00123.sg01.s01							Arrebatar		 Arrebatar 	
lexicalSense:n00124.sg01.s01							Vida de velhaco. 		 Vida de velhaco . 	Proue. porque Abron foy de muyto mâ vida.
lexicalSense:n00125.sg01.s01							Roer		 Roer 	
lexicalSense:n00126.sg01.s01							Anular. ou desfazer		 Anular . ou desfazer 	
lexicalSense:n00127.sg01.s01							Desfazer a ley		 Desfazer a ley 	
lexicalSense:n00128.sg01.s01							A erua lombrigueyra		 A erua lombrigueyra 	
lexicalSense:n00129.sg01.s01							Rasgar. ou romper		 Rasgar . ou romper 	
lexicalSense:n00130.sg01.s01							Quebrar a pratica		 Quebrar a pratica 	
lexicalSense:n00131.sg01.s01							Matar-se		 Matar - se 	
lexicalSense:n00132.sg01.s01							Desenquietar		 Desenquietar 	
lexicalSense:n00133.sg01.s01							Quebrar ho sonno		 Quebrar ho sonno 	
lexicalSense:n00134.sg01.s01							Quebrar os ramos		 Quebrar os ramos 	
lexicalSense:n00135.sg01.s01							Não acabar o começado		 Não acabar o começado 	
lexicalSense:n00136.sg01.s01							Cousa desencaminhada		 Cousa desencaminhada 	
lexicalSense:n00137.sg01.s01							Quebradamente		 Quebradamente 	
lexicalSense:n00138.sg01.s01	usageExample:n00138.sg01.s01.u01, usageExample:n00138.sg01.s01.u02		significat.				de. 		 de . 	
lexicalSense:n00139.sg01.s01							Apartar-se		 Apartar - se 	
lexicalSense:n00140.sg01.s01							Apostemar-se		 Apostemar - se 	
lexicalSense:n00141.sg01.s01							A partida		 A partida 	
lexicalSense:n00142.sg01.s01							A postema		 A postema 	
lexicalSense:n00143.sg01.s01							Cortar		 Cortar 	
lexicalSense:n00144.sg01.s01							Rasgar		 Rasgar 	
lexicalSense:n00145.sg01.s01							A rasgadura		 A rasgadura 	
lexicalSense:n00146.sg01.s01							Esconder		 Esconder 	
lexicalSense:n00147.sg01.s01							A escondedura		 A escondedura 	
lexicalSense:n00148.sg01.s01							Escondidamente		 Escondidamente 	
lexicalSense:n00149.sg01.s01							cousa ausente		 cousa ausente 	
lexicalSense:n00150.sg01.s01							A ausentia		 A ausentia 	
lexicalSense:n00151.sg01.s01							Ausentar a outrẽ		 Ausentar a outrẽ 	
lexicalSense:n00152.sg01.s01							Cousa que se faz ausente		 Cousa que se faz ausente 	
lexicalSense:n00153.sg01.s01							Desconsentir. discordar. ou desconformar		 Desconsentir . discordar . ou desconformar 	
lexicalSense:n00154.sg01.s01							Cousa desemelhante		 Cousa desemelhante 	
lexicalSense:n00155.sg01.s01							Apartar-se. neutro. alõgar-se		 Apartar - se . neutro . alõgar - se 	
lexicalSense:n00156.sg01.s01							Assoluer. ou acabar		 Assoluer . ou acabar 	
lexicalSense:n00157.sg01.s01							Cousa assolta. ou perfeita		 Cousa assolta . ou perfeita 	
lexicalSense:n00158.sg01.s01							absoluiçã. ou perfeiçã		 absoluiçã . ou perfeiçã 	
lexicalSense:n00159.sg01.s01							Perfeitamente		 Perfeitamente 	
lexicalSense:n00160.sg01.s01							Cousa desconcordãte		 Cousa desconcordãte 	
lexicalSense:n00161.sg01.s01							Soruer		 Soruer 	
lexicalSense:n00162.sg01.s01							Sem		 Sem 	
lexicalSense:n00163.sg01.s01							Cousa que nã bebe vinho		 Cousa que nã bebe vinho 	
lexicalSense:n00164.sg01.s01							Alimpar		 Alimpar 	
lexicalSense:n00165.sg01.s01							Alimpar as lagrimas		 Alimpar as lagrimas 	
lexicalSense:n00166.sg01.s01							Espantar a outrem. 		 Espantar a outrem . 	Actiuo.
lexicalSense:n00167.sg01.s01							Apartar. ou refrear. 		 Apartar . ou refrear . 	actiuo.
lexicalSense:n00168.sg01.s01							Apartar-se. 		 Apartar - se . 	neutro. cõ ablatiuo.
lexicalSense:n00169.sg01.s01							Não comer toucinho		 Não comer toucinho 	
lexicalSense:n00170.sg01.s01							jejuar. 		 jejuar . 	absolutè.
lexicalSense:n00171.sg01.s01							Ho refreamento		 Ho refreamento 	
lexicalSense:n00172.sg01.s01							Tirar por força		 Tirar por força 	
lexicalSense:n00173.sg01.s01							Esconder. ou fechar. 		 Esconder . ou fechar . 	actiuo.
lexicalSense:n00174.sg01.s01							Cousa escondida		 Cousa escondida 	
lexicalSense:n00175.sg01.s01							Ho escondimento		 Ho escondimento 	
lexicalSense:n00176.sg01.s01							Não digo isto por soberba		 Não digo isto por soberba 	
lexicalSense:n00177.sg01.s01							Estar ausente		 Estar ausente 	
lexicalSense:n00178.sg01.s01							Estou afastado duas jornadas		 Estou afastado duas jornadas 	
lexicalSense:n00179.sg01.s01							Cõsumir. 		 Cõsumir . 	actiuo.
lexicalSense:n00180.sg01.s01							Matar alguẽ com peçonha		 Matar alguẽ com peçonha 	
lexicalSense:n00181.sg01.s01							Morto de doença		 Morto de doença 	
lexicalSense:n00182.sg01.s01							Cousa fea. ou torpe		 Cousa fea . ou torpe 	
lexicalSense:n00183.sg01.s01							A torpeza. ou fealdade		 A torpeza . ou fealdade 	
lexicalSense:n00184.sg01.s01							Torpe. ou feamente		 Torpe . ou feamente 	
lexicalSense:n00185.sg01.s01							Alosna. erua		 Alosna . erua 	
lexicalSense:n00186.sg01.s01							Chegar-se ao perigo. 		 Chegar - se ao perigo . 	Prouerb. porque transena era hũa armadura com que ceuauão os passaros.
lexicalSense:n00187.sg01.s01							Abõdar. 		 Abõdar . 	Neutro.
lexicalSense:n00188.sg01.s01							Abondãça. ou abastãça		 Abondãça . ou abastãça 	
lexicalSense:n00189.sg01.s01							Abũdosamẽte		 Abũdosamẽte 	
lexicalSense:n00190.sg01.s01							Desde		 Desde 	
lexicalSense:n00191.sg01.s01							Vsar mal. ou vsar		 Vsar mal . ou vsar 	
lexicalSense:n00192.sg01.s01							O mao vso		 O mao vso 	
lexicalSense:n00193.sg01.s01							Fora de vso. ou desusadamente		 Fora de vso . ou desusadamente 	
lexicalSense:n00194.sg01.s01							Cousa desusada		 Cousa desusada 	
lexicalSense:n00195.sg01.s01							Começar das cousas bayxas		 Começar das cousas bayxas 	
lexicalSense:n00196.sg01.s01							A traquinada. 		 A traquinada . 	Prou. Diz-se porque os Abidenos faziã grãdes traquinadas nos banquetes.
lexicalSense:n00197.sg01.s01							O homẽ mole. & afeminado. 		 O homẽ mole . & afeminado . 	como forão os naturaes da Cidade de Abidos.
lexicalSense:n00198.sg01.s01							Não te metas em perigo sem causa. 		 Não te metas em perigo sem causa . 	porque os de Abidos erão muy corruptos & dãnados.
lexicalSense:n00199.sg01.s01							O abismo		 O abismo 	
lexicalSense:n00200.sg01.s01							Isto he suaue & gostoso. 		 Isto he suaue & gostoso . 	Dir-se-a das cousas de que gostarmos. porque Hymetos foy hum monte de Athenas. onde auia o melhor mel do mundo.
lexicalSense:n00201.sg01.s01						pro et		 pro et 		
lexicalSense:n00202.sg01.s01							A escola de Platão		 A escola de Platão 	
lexicalSense:n00203.sg01.s01							A vniuersidade como a de Coymbra		 A vniuersidade como a de Coymbra 	
lexicalSense:n00204.sg01.s01							Cousa da seyta de Platão		 Cousa da seyta de Platão 	
lexicalSense:n00205.sg01.s01							Tornar a começar de nouo		 Tornar a começar de nouo 	
lexicalSense:n00206.sg01.s01							Ho moço de esporas		 Ho moço de esporas 	
lexicalSense:n00207.sg01.s01							Homẽ indouto. que não tem fala. 		 Homẽ indouto . que não tem fala . 	Proue. como são as cegarregas de Acãto lugar de Atolia. as quaes não cantão como as outras.
lexicalSense:n00208.sg01.s01							Ho pinta siluo. ou pintasirgo passaro		 Ho pinta siluo . ou pintasirgo passaro 	
lexicalSense:n00209.sg01.s01							A gralha vẽce o pintasirgo. s. o que sabe pouco vence as vezes o que muyto sabe		 A gralha vẽce o pintasirgo . s . o que sabe pouco vence as vezes o que muyto sabe 	
lexicalSense:n00210.sg01.s01							O alcachofre. erua		 O alcachofre . erua 	
lexicalSense:n00211.sg01.s01							Lenha seca		 Lenha seca 	
lexicalSense:n00212.sg01.s01							Começar do principal		 Começar do principal 	
lexicalSense:n00213.sg01.s01							Do começo ate o cabo		 Do começo ate o cabo 	
lexicalSense:n00214.sg01.s01							Ho oução		 Ho oução 	
lexicalSense:n00215.sg01.s01							Desdo principio		 Desdo principio 	
lexicalSense:n00216.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n00217.sg01.s01							Caualo grande & fermoso. hum premio ensigne		 Caualo grande & fermoso . hum premio ensigne 	
lexicalSense:n00218.sg01.s01							Do principio ate o cabo		 Do principio ate o cabo 	
lexicalSense:n00219.sg01.s01							Ho mole & mimoso. 		 Ho mole & mimoso . 	Prouerbium.
lexicalSense:n00220.sg01.s01						cui nulla syllaba deficit	Verso perfeyto	 cui nulla syllaba deficit 	 Verso perfeyto 	
lexicalSense:n00221.sg01.s01							Chegar-se. ou acrecentar-se. 		 Chegar - se . ou acrecentar - se . 	neutro.
lexicalSense:n00222.sg01.s01							Consinto contigo		 Consinto contigo 	
lexicalSense:n00223.sg01.s01							Apressar-se		 Apressar - se 	
lexicalSense:n00224.sg01.s01							Acẽder. ou atear		 Acẽder . ou atear 	
lexicalSense:n00225.sg01.s01							O ministro da justiça		 O ministro da justiça 	
lexicalSense:n00226.sg01.s01							O acento		 O acento 	
lexicalSense:n00227.sg01.s01							A quitaçã. ou paga		 A quitaçã . ou paga 	
lexicalSense:n00228.sg01.s01							O recebimento de dinheyro		 O recebimento de dinheyro 	
lexicalSense:n00229.sg01.s01							Cousa aceyta. ou recebida		 Cousa aceyta . ou recebida 	
lexicalSense:n00230.sg01.s01							O recebedor. ou aceytador		 O recebedor . ou aceytador 	
lexicalSense:n00231.sg01.s01							Cõfessar que recebeo		 Cõfessar que recebeo 	
lexicalSense:n00232.sg01.s01							A ti agardeço o que sey		 A ti agardeço o que sey 	
lexicalSense:n00233.sg01.s01							Ir chamar		 Ir chamar 	
lexicalSense:n00234.sg01.s01							acuso-te crimemẽte		 acuso - te crimemẽte 	
lexicalSense:n00235.sg01.s01							Mal que nos causamos		 Mal que nos causamos 	
lexicalSense:n00236.sg01.s01							Morte tomada por nossas mãos		 Morte tomada por nossas mãos 	
lexicalSense:n00237.sg01.s01							O que chama os outros		 O que chama os outros 	
lexicalSense:n00238.sg01.s01							O chamamento		 O chamamento 	
lexicalSense:n00239.sg01.s01							A entrada		 A entrada 	
lexicalSense:n00240.sg01.s01							A maré enchente		 A maré enchente 	
lexicalSense:n00241.sg01.s01							O acrecentamento		 O acrecentamento 	
lexicalSense:n00242.sg01.s01							Cortar ou gastar		 Cortar ou gastar 	
lexicalSense:n00243.sg01.s01							Cair. ou acontecer		 Cair . ou acontecer 	
lexicalSense:n00244.sg01.s01							Deytar-se aos pés		 Deytar - se aos pés 	
lexicalSense:n00245.sg01.s01							O acontecimento		 O acontecimento 	
lexicalSense:n00246.sg01.s01							Aperceber-se. ou remangar		 Aperceber - se . ou remangar 	
lexicalSense:n00247.sg01.s01							Cousa apercebida		 Cousa apercebida 	
lexicalSense:n00248.sg01.s01							Chamar		 Chamar 	
lexicalSense:n00249.sg01.s01							O chamado		 O chamado 	
lexicalSense:n00250.sg01.s01							Receber. ouuir. tratar		 Receber . ouuir . tratar 	
lexicalSense:n00251.sg01.s01							Aceitar partido		 Aceitar partido 	
lexicalSense:n00252.sg01.s01							Padecer		 Padecer 	
lexicalSense:n00253.sg01.s01	usageExample:n00253.sg01.s01.u01					pro intelligo. 		 pro intelligo . 		
lexicalSense:n00254.sg01.s01							Receber de boa vontade		 Receber de boa vontade 	
lexicalSense:n00255.sg01.s01							Someter-se a outrem		 Someter - se a outrem 	
lexicalSense:n00256.sg01.s01							Tomar a onzena		 Tomar a onzena 	
lexicalSense:n00257.sg01.s01							Fazer-se sogeyto		 Fazer - se sogeyto 	
lexicalSense:n00258.sg01.s01							Perdoar aos immigos. recebe-los quando se dão		 Perdoar aos immigos . recebe - los quando se dão 	
lexicalSense:n00259.sg01.s01							Tomar em boa. ou em mâ parte		 Tomar em boa . ou em mâ parte 	
lexicalSense:n00260.sg01.s01							O açor. ou falcão		 O açor . ou falcão 	
lexicalSense:n00261.sg01.s01							Querer. & dizer de não. ou pequices		 Querer . & dizer de não . ou pequices 	
lexicalSense:n00262.sg01.s01							Consentir. ou fauorecer gritando		 Consentir . ou fauorecer gritando 	
lexicalSense:n00263.sg01.s01							A grita dos que consentem		 A grita dos que consentem 	
lexicalSense:n00264.sg01.s01							Inclinar a outrem		 Inclinar a outrem 	
lexicalSense:n00265.sg01.s01							Cousa costa arriba		 Cousa costa arriba 	
lexicalSense:n00266.sg01.s01							A costa		 A costa 	
lexicalSense:n00267.sg01.s01							Morar junto dalgum lugar		 Morar junto dalgum lugar 	
lexicalSense:n00268.sg01.s01							O morador pegado com algum lugar		 O morador pegado com algum lugar 	
lexicalSense:n00269.sg01.s01							Apropiar		 Apropiar 	
lexicalSense:n00270.sg01.s01							Cousa apropiada		 Cousa apropiada 	
lexicalSense:n00271.sg01.s01							O mesmo		 O mesmo 	
lexicalSense:n00272.sg01.s01							O apropiamento		 O apropiamento 	
lexicalSense:n00273.sg01.s01							Apropiadamẽte		 Apropiadamẽte 	
lexicalSense:n00274.sg01.s01							Crecer		 Crecer 	
lexicalSense:n00275.sg01.s01							A crecença		 A crecença 	
lexicalSense:n00276.sg01.s01							Assentar-se aa mesa		 Assentar - se aa mesa 	
lexicalSense:n00277.sg01.s01							O mesmo		 O mesmo 	
lexicalSense:n00278.sg01.s01							O assentar da mesa		 O assentar da mesa 	
lexicalSense:n00279.sg01.s01							O que esta â mesa		 O que esta â mesa 	
lexicalSense:n00280.sg01.s01							A camilha		 A camilha 	
lexicalSense:n00281.sg01.s01							Amontoar		 Amontoar 	
lexicalSense:n00282.sg01.s01							O amontoamẽto		 O amontoamẽto 	
lexicalSense:n00283.sg01.s01							O amontoador		 O amontoador 	
lexicalSense:n00284.sg01.s01							Amontoadamẽte		 Amontoadamẽte 	
lexicalSense:n00285.sg01.s01							curar deligẽtemẽte		 curar deligẽtemẽte 	
lexicalSense:n00286.sg01.s01							Cousa feyta com gram cuydado		 Cousa feyta com gram cuydado 	
lexicalSense:n00287.sg01.s01							O grande cuydado ou diligentia		 O grande cuydado ou diligentia 	
lexicalSense:n00288.sg01.s01							Com grande cuydado		 Com grande cuydado 	
lexicalSense:n00289.sg01.s01							Acudir. 		 Acudir . 	neutro.
lexicalSense:n00290.sg01.s01							Acusar. 		 Acusar . 	actiuo.
lexicalSense:n00291.sg01.s01							O acusador		 O acusador 	
lexicalSense:n00292.sg01.s01							A acusação		 A acusação 	
lexicalSense:n00293.sg01.s01							Cousa que pertence a acusar		 Cousa que pertence a acusar 	
lexicalSense:n00294.sg01.s01							Azedar-se. ou fazer-se vinagre		 Azedar - se . ou fazer - se vinagre 	
lexicalSense:n00295.sg01.s01							Cousa sem cabeça		 Cousa sem cabeça 	
lexicalSense:n00296.sg01.s01							Hũa certa aruore. 		 Hũa certa aruore . 	neutro.
lexicalSense:n00297.sg01.s01							Cousa azeda. ou forte		 Cousa azeda . ou forte 	
lexicalSense:n00298.sg01.s01							Cousa azeda. ou aspera		 Cousa azeda . ou aspera 	
lexicalSense:n00299.sg01.s01							O azedume. ou aspereza		 O azedume . ou aspereza 	
lexicalSense:n00300.sg01.s01							Azedamente. 		 Azedamente . 	
lexicalSense:n00301.sg01.s01							Azedar a outrem		 Azedar a outrem 	
lexicalSense:n00302.sg01.s01							O azedamento		 O azedamento 	
lexicalSense:n00303.sg01.s01							Cousa daquella aruore azer		 Cousa daquella aruore azer 	
