lexicog.UsageExample	lexinfo.note	rdfs.label	rdfs.value.la	rdfs.value.pt	skos.note
usageExample:n0029.sg01.s01.u01		cauenda est doctrina fidei diuinae absona, uel à fide diuina	 Cavenda est doctrina Fidei Divinae absona , vel à Fide Divina 		
usageExample:n0030.sg01.s99.u01		uide, ne te prauae consuetudinis aestus absorbeat	 Vide , ne te pravae consuetudinis aestus absorbeat 	 vede naõ vos perca a maré do máo costume 	
usageExample:n0031.sg01.s01.u01		absque iniuria, absque peccato	 Absque injuria , absque peccato 		
usageExample:n0032.sg01.s01.u01		cato uini abstemius fuisse narratur	 Cato vini abstemius fuisse narratur 		
usageExample:n0033.sg01.s01.u01		nolite hominem à uobis absterrere metu poenae	 Nolite hominem à vobis absterrere metu poenae 		
usageExample:n0034.sg01.s01.u01		abstinere culpâ	 Abstinere culpâ 	 abster - se da culpa 	
usageExample:n0034.sg01.s01.u02		abstinere se alieno, uel ab alieno	 abstinere se alieno , vel ab alieno 		
usageExample:n0034.sg01.s99.u01		abstinere diaconum	 Abstinere Diaconum 	 separar , ou excommungar ao Diacono 	
usageExample:n0035.sg01.s01.u01		á gremio patriae difficilè quiuis abstrahitur	 Á gremio patriae difficilè quivis abstrahitur 		
usageExample:n0036.sg01.s01.u01		abest mihi animus	 Abest mihi animus 		
usageExample:n0036.sg01.s01.u02		nihil huic abest de maximarum rerum scientia	 Nihil huic abest de maximarum rerum scientia 		
usageExample:n0036.sg01.s01.u03		abesse ab urbe, à domo, uel domo	 Abesse ab urbe , à domo , vel domo 		
usageExample:n0036.sg01.s01.u04		abesse bidui	 Abesse bidui 	 estar distante jornada de dous dias 	subaudi, itinere
usageExample:n0036.sg01.s01.u05		absit uerbo inuidia	 Absit verbo invidia 		id est, odium, dicebant veteres, quasi excusando, si, quod erant dicturi, arrogans videri posset.
usageExample:n0037.sg01.s01.u01		uerba profert aetati suae absurda	 Verba profert aetati suae absurda 		
usageExample:n0038.sg01.s01.u01		abundare diuitiis, doctrinâ, ingenio, bellicis laudibus	 Abundare divitiis , doctrinâ , ingenio , bellicis laudibus 		
usageExample:n0041.sg01.s99.u01		doctus, ac iustus	 Doctus , ac justus 	 douto , e justo 	
usageExample:n0042.sg01.s01.u01		secùs, ac iussi fecistis	 Secùs , ac jussi fecistis 	 fizestes ao revez , do que vos mandei 	
usageExample:n0042.sg01.s02.u01		superbis perinde, ac si rex esses	 Superbis perinde , ac si rex esses 	 Ensoberbeceis - vos , como se fosseis Rey 	
usageExample:n0044.sg01.s01.u01		acatalectica carmina	 acatalectica carmina 		quibus nulla deest syllaba
usageExample:n0044.sg01.s01.u02		catalectica carmina	 catalectica carmina 		quibus una deest syllaba.
usageExample:n0045.sg01.s01.u01		prope moenibus accessimus	 Prope moenibus accessimus 		
usageExample:n0045.sg01.s01.u02		accedo tibi, uel tuae sententiae	 Accedo tibi , vel tuae sententiae 	 sou do vosso parecer 	
usageExample:n0045.sg01.s02.u01		hoc ad illud accedit	 Hoc ad illud accedit 		id est, simile est.
usageExample:n0045.sg01.s02.u02		antonio philippus proximus accedebat	 Antonio Philippus proximus accedebat 	 Philippe era muito semelhante , ou igual a Antonio 	
usageExample:n0045.sg01.s03.u01		accedit ad haec	 Accedit ad haec 	 accrescenta - se a isto 	
usageExample:n0045.sg01.s03.u02		dolor accessit bonis uiris	 Dolor accessit bonis viris 	 accrescentou - se a dor , etc 	
usageExample:n0045.sg01.s03.u03		accedit, quòd	 Accedit , quòd 		
usageExample:n0046.sg01.s01.u01		uir regi, & omnibus bonis acceptus	 Vir Regi , & omnibus bonis acceptus 		
usageExample:n0047.sg01.s01.u01		insperata magis saepè accidunt, quàm, quae speres	 Insperata magis saepè accidunt , quàm , quae speres 		
usageExample:n0048.sg01.s01.u01		alicuius genibus, uel ad genua alicui, uel alicuius pedes accidere	 Alicujus genibus , vel ad genua alicui , vel alicujus pedes accidere 	 lançar se , ou deburçar - se aos pés de alguem 	
usageExample:n0048.sg01.s01.u02		quos accidam? aut quos appellem?	 Quos accidam ? aut quos appellem ? 		apud Salust. pro ad quos, vel ad quorum genua accidam, id est, quibus suplicem?
usageExample:n0048.sg01.s02.u01		siquid pupillo accidisset	 Siquid pupillo accidisset 	 se o pupillo morresse 	
usageExample:n0048.sg01.s03.u01		mihi paternae uocis sonitus aures accidit	 Mihi paternae vocis sonitus aures accidit 	 ouvi a voz de meu pay 	pro ad aures, vel auribus
usageExample:n0049.sg01.s99.u01		accipere aliquem hospitio	 Accipere aliquem hospitio 	 hospedar 	
usageExample:n0049.sg01.s99.u02		magnificè, ac festiuè accepti sumus	 Magnificè , ac festivè accepti sumus 	 fomos bem agasalhados 	
usageExample:n0049.sg01.s99.u03		miseris aliquem accipere modis	 Miseris aliquem accipere modis 	 tratar a alguem mal 	
usageExample:n0049.sg01.s99.u04		acceptum aliquid referre	 Acceptum aliquid referre 	 confessar ter recebido alguma cousa de alguem 	
usageExample:n0051.sg01.s01.u01		populus romanus saepe ciceroni acclamauit	 Populus Romanus saepe Ciceroni acclamavit 		
usageExample:n0052.sg01.s01.u01		acclinis falsis animus meliora recusat	 Acclinis falsis animus meliora recusat 		
usageExample:n0053.sg01.s01.u01		acclinare se ad causam, uel causae senatûs	 Acclinare se ad causam , vel causae Senatûs 		
usageExample:n0054.sg01.s01.u01		accliues arbori quaedam ferae in somno capiuntur	 Acclives arbori quaedam ferae in somno capiuntur 		
usageExample:n0055.sg01.s01.u01		accola montis	 Accola montis 	 o que mora perto de algum monte 	
usageExample:n0056.sg01.s01.u01		tempus segeti demetendae accommodatum, uel ad segetem, & c	 tempus segeti demetendae accommodatum , vel ad segetem , & c 		
usageExample:n0057.sg01.s01.u01		uallis accommoda fraudi	 Vallis accommoda fraudi 		
usageExample:n0058.sg01.s01.u01		ueteri negotio noua accrescunt	 Veteri negotio nova accrescunt 		
usageExample:n0059.sg01.s99.u01		regi in conuiuio accumbere honorificum est	 Regi in convivio accumbere honorificum est 		
usageExample:n0060.sg01.s01.u01		dux accurrit equitibus fatigatis, & exercitui	 Dux accurrit equitibus fatigatis , & exercitui 		
usageExample:n0061.sg01.s01.u01		ne me falsi accuses, uel de falso	 Ne me falsi accuses , vel de falso 		
usageExample:n0063.sg01.s99.u01		acer equus	 Acer equus 	 cavallo ligeiro 	
usageExample:n0063.sg01.s99.u02		homo acri ingenio	 Homo acri ingenio 	 de agudo engenho 	
usageExample:n0064.sg01.s01.u01		acerbum uulnus	 acerbum vulnus 		
usageExample:n0064.sg01.s01.u02		princeps iniquae multitudini acerbus	 Princeps iniquae multitudini acerbus 		
usageExample:n0064.sg01.s01.u03		acerba mors, acerbum funus	 Acerba mors , acerbum funus 	 morte antes de tempo , e que causa grande pena 	tractum à fructibus immaturis, qui gustui molesti sunt.
usageExample:n0069.sg01.s01.u01		mala punica gustui acida sunt salubria	 Mala punica gustui acida sunt salubria 	 as romãas , etc 	
usageExample:n0069.sg01.s99.u01		homo acidae linguae	 Homo acidae linguae 	 homem mordaz , e picante 	
usageExample:n0072.sg01.s01.u01		optimorum consiliis acquiescere	 Optimorum consiliis acquiescere 		
usageExample:n0073.sg01.s01.u01		ingrato haeredi diuitias acquiris	 Ingrato haeredi divitias acquiris 		
usageExample:n0077.sg01.s01.u01		acriter intelligere, uel speculari	 Acriter intelligere , vel speculari 	 entender , ou especular agudamente , e com perspicacia 	
usageExample:n0081.sg01.s99.u01		rem acu tetigisti	 Rem acu tetigisti 	 adivinhaste , e deste no ponto da cousa 	
usageExample:n0082.sg01.s01.u01		crux, quae posita est ad portum	 Crux , quae posita est ad portum 		i, prope portum.
usageExample:n0082.sg01.s01.u02		ad senatorem relicti	 Ad Senatorem relicti 		i, domi Senatoris.
usageExample:n0082.sg01.s01.u03		ad me fuit benè manè	 Ad me fuit benè manè 	 esteve comigo , ou em minha casa muito cedo 	
usageExample:n0082.sg01.s01.u04		taleta ad quindecim coegi	 Taleta ad quindecim coegi 		i, circiter.
usageExample:n0082.sg01.s01.u05		ad dece annos	 Ad dece annos 		i, post.
usageExample:n0082.sg01.s01.u06		cum boues ad desiderium relictarum mugissent	 Cum boves ad desiderium relictarum mugissent 		i, propter, vel prae desiderio.
usageExample:n0082.sg01.s01.u07		ad haec mala hoc mihi accedit etiam	 Ad haec mala hoc mihi accedit etiam 		i, praeter.
usageExample:n0082.sg01.s01.u08		magnificus ad speciem ornatus	 Magnificus ad speciem ornatus 		i, quantùm ad speciem.
usageExample:n0082.sg01.s02.u01		ad multam noctem, ad uesperum	 Ad multam noctem , ad vesperum 		
usageExample:n0082.sg01.s02.u02		latebo ad tempus	 Latebo ad tempus 		i, usque tempus quoddam.
usageExample:n0082.sg01.s02.u03		ad integrum	 Ad integrum 		i, integrè.
usageExample:n0082.sg01.s02.u04		ad extremum, ad postremum, ad ultimum	 Ad extremum , ad postremum , ad ultimum 		i, denique, vel postremò.
usageExample:n0082.sg01.s02.u05		ad unguem	 Ad unguem 		i, exquisitâ diligentiâ, & curâ exactissimâ.
usageExample:n0082.sg01.s02.u06		ad liquidum ueritas explorata	 Ad liquidum veritas explorata 	 diliquidou - se a verdade 	
usageExample:n0082.sg01.s02.u07		sententia ad uerbum translata	 Sententia ad verbum translata 		i, de verbo ad verbum.
usageExample:n0082.sg01.s02.u08		ad unum omnes	 Ad unum omnes 		i, nullo excepto.
usageExample:n0082.sg01.s02.u09		ad eum nuncium commoti sunt omnes	 Ad eum nuncium commoti sunt omnes 		i, audito eo nuntio.
usageExample:n0082.sg01.s03.u01		ad manus seruus	 Ad manus servus 		qui & à manu.
usageExample:n0082.sg01.s03.u02		ad cyathos stare dicuntur pincernae	 Ad cyathos stare dicuntur pincernae 	 os copeiros 	
usageExample:n0082.sg01.s03.u03		homines ad lecticam	 Homines ad lecticam 	 os leiteiros 	
usageExample:n0082.sg01.s03.u04		ad limina custos	 Ad limina custos 	 o porteiro 	
usageExample:n0083.sg01.s01.u01		claudius seruos dominis adaequauit	 Claudius servos dominis adaequavit 		
usageExample:n0083.sg01.s99.u01		urbem solo adaequare	 Urbem solo adaequare 	 pôr por terra 	
usageExample:n0087.sg01.s01.u01		tuas aedes addixisti homini diuiti nummo sestertio	 Tuas aedes addixisti homini diviti nummo sestertio 	 por dez reis 	
usageExample:n0087.sg01.s99.u01		addicere sententiam	 Addicere sententiam 	 vender o voto 	
usageExample:n0087.sg01.s99.u02		perpetuae seruituti se addicere	 Perpetuae servituti se addicere 	 obrigar se , ou entregar se a cativeiro perpetuo 	
usageExample:n0088.sg01.s01.u01		afflicto afflictionem ne addideris	 Afflicto afflictionem ne addideris 		
usageExample:n0088.sg01.s99.u01		addere calcaria equo	 Addere calcaria equo 	 por as esporas 	
usageExample:n0088.sg01.s99.u02		addere animum	 Addere animum 	 animar 	
usageExample:n0089.sg01.s02.u01		dii illum perdant, meque adeò	 Dij illum perdant , meque adeò 		
usageExample:n0089.sg01.s02.u02		dii precor	 Dij precor 	 atque adeò Caesar 	
usageExample:n0089.sg01.s03.u01		de foro	 De foro 	 atque adeò de civitate sublatus est 	
usageExample:n0090.sg01.s99.u01		haereditatem adire	 Haereditatem adire 	 confessar - se , ou mostrar - se por herdeiro 	
usageExample:n0090.sg01.s99.u02		labores, uel pericula adire	 Labores , vel pericula adire 		i, subire, vel suscipere.
usageExample:n0092.sg01.s01.u01		urbi adequitabat imperator	 Urbi adequitabat Imperator 		
usageExample:n0093.sg01.s01.u01		lateri tuo semper adhaesi	 Lateri tuo semper adhaesi 	 sempre andei a vosso lado 	
usageExample:n0094.sg01.s01.u01		iustitiae adhaerescere regium est	 Justitiae adhaerescere regium est 		
usageExample:n0095.sg01.s01.u01		aegrotanti adhibere medicinam	 Aegrotanti adhibere medicinam 	 curar 	
usageExample:n0095.sg01.s01.u02		calcaria equo	 Calcaria equo 	 chegar as esporas ao cavallo 	
usageExample:n0095.sg01.s01.u03		coenae hospitem	 Coenae hospitem 	 admittir , convidar para a cea 	
usageExample:n0095.sg01.s01.u04		adhibere testes	 Adhibere testes 	 trazer testemunhas 	
usageExample:n0095.sg01.s01.u05		adhibere moram	 Adhibere Moram 	 deter , ou dilatar 	
usageExample:n0096.sg01.s01.u01		ulyssipo mari adiacet	 Ulyssipo mari adjacet 		
usageExample:n0097.sg01.s01.u01		greges adigere	 Greges adigere 		
usageExample:n0097.sg01.s01.u02		arbori, uel in arborem cuneum adigere	 arbori , vel in arborem cuneum adigere 		
usageExample:n0097.sg01.s01.u03		milites sacramento, uel iureiurando, uel ad iusiurandum adigere	 milites sacramento , vel jurejurando , vel ad jusjurandum adigere 	 obrigar com juramento 	
usageExample:n0098.sg01.s01.u01		rei, uel ad rem aliquam animum adiicere	 Rei , vel ad rem aliquam animum adjicere 	 applicar - se a alguma cousa 	
usageExample:n0098.sg01.s01.u02		oculos in, uel ad rem adiicere	 Oculos in , vel ad rem adjicere 	 desejar a cousa vista 	
usageExample:n0098.sg01.s01.u03		adiicere calculum	 Adjicere calculum 		i, approbare.
usageExample:n0099.sg01.s99.u01		adimere alicui dolorem, facultatem, metum, & c	 adimere alicui dolorem , facultatem , metum , & c 		
usageExample:n0099.sg01.s99.u02		ademptus hector	 Ademptus Hector 		i, interfectus
usageExample:n0099.sg01.s99.u03		suspirare aliquem ademptum	 suspirare aliquem ademptum 		i, exulem.
usageExample:n0100.sg01.s01.u01		adipisci aliquem medio itinere	 Adipisci aliquem medio itinere 		i, pervenire ad aliquem.
usageExample:n0100.sg01.s01.u02		non aetate, uerùm ingenio adipiscitur sapientia	 Non aetate , verùm ingenio adipiscitur Sapientia 		
usageExample:n0101.sg01.s01.u01		domum haeredi praetor adiudicauit	 Domum haeredi Praetor adjudicavit 		
usageExample:n0102.sg01.s01.u01		ne malum tibi socium adiungas	 Ne malum tibi socium adjungas 		
usageExample:n0102.sg01.s01.u02		hic dies me ualde crasso adiunxit	 Hic dies me valde Crasso adjunxit 		i, amicum fecit.
usageExample:n0103.sg01.s01.u01		frumentum ab aetolis, quod militi admetiatur	 Frumentum ab Aetolis , quod militi admetiatur 		
usageExample:n0105.sg01.s01.u01		aquam farinae admiscere	 Aquam farinae admiscere 		
usageExample:n0105.sg01.s01.u02		ne te alienis negotiis admisceas	 Ne te alienis negotiis admisceas 	 naõ vos metais , no que vos naõ pertence 	
usageExample:n0106.sg01.s01.u01		arcanis, & consiliis queuis admittere non expedit, uel ad arcana	 Arcanis , & consiliis quevis admittere non expedit , vel ad arcana 		
usageExample:n0106.sg01.s02.u01		qui homo culpam, admisit in se	 Qui homo culpam , admisit in se 		
usageExample:n0106.sg01.s02.u02		admittere caede, fraude, uel scelus	 Admittere caede , fraude , vel scelus 		
usageExample:n0106.sg01.s99.u01		equum admittere	 Equum admittere 		i, habenas laxare, & ad cursum incitare
usageExample:n0106.sg01.s99.u02		admissus equus	 admissus equus 		i, celer, & ad cursum incitatus.
usageExample:n0107.sg01.s03.u01		iam mitigati admodum animi raptis erant	 Jam mitigati admodum animi raptis erant 		
usageExample:n0107.sg01.s04.u01		equites mille admodum	 Equites mille admodum 	 quasi mil 	
usageExample:n0108.sg01.s01.u01		admoneo te multa, uel multorum, uel de multis	 Admoneo te multa , vel multorum , vel de multis 		
usageExample:n0109.sg01.s99.u01		morbi admonitio	 Morbi admonitio 		i, reliquiae, vel memoria morbi.
usageExample:n0110.sg01.s01.u01		machinam turri admouere	 Machinam turri admovere 		
usageExample:n0110.sg01.s01.u02		admouere calcaria aquo	 Admovere calcaria aquo 	 picar o cavallo com as esporas 	
usageExample:n0110.sg01.s01.u03		fasciculum ad nares admouere	 Fasciculum ad nares admovere 	 cheirar o ramalhete 	
usageExample:n0111.sg01.s01.u01		uiscum quibusdam arboribus adnascitur	 Viscum quibusdam arboribus adnascitur 		
usageExample:n0112.sg01.s01.u01		pisces lateri nauium indiam petentium adnatant	 Pisces lateri navium Indiam petentium adnatant 		
usageExample:n0113.sg01.s01.u01		adniti hastae, uel baculo	 Adniti hastae , vel baculo 		
usageExample:n0113.sg01.s01.u02		ad aliquid adniti	 Ad aliquid adniti 		i, incumbere.
usageExample:n0113.sg01.s01.u03		quaestor pro praetore missus est, annitente crasso	 Quaestor pro Praetore missus est , annitente Crasso 	 fazendo Crasso nisso muita força 	
usageExample:n0114.sg01.s99.u01		hûc pauci uestris adnauimus oris	 Hûc pauci vestris adnavimus oris 		
usageExample:n0115.sg01.s01.u01		sacerdos olim thura, & adipes deo adolebat	 Sacerdos olim thura , & adipes Deo adolebat 		
usageExample:n0117.sg10.s01.u01		adolescente luce lunae, uel adolescente luna	 Adolescente luce Lunae , vel adolescente Luna 		
usageExample:n0118.sg01.s99.u01		adonidis horti	 Adonidis horti 		proverbialiter dicuntur res leves, & amoenae quidem, nulli tamen rei utiles.
usageExample:n0119.sg01.s01.u01		te mihi patronum adoptaui	 Te mihi patronum adoptavi 		
usageExample:n0119.sg01.s99.u01		adoptare sibi aliquem filium, uel pro filio	 Adoptare sibi aliquem filium , vel pro filio 	 perfilhar 	
usageExample:n0119.sg01.s99.u02		adoptare se ordini, uel religioni	 adoptare se Ordini , vel Religioni 	 meter - se em Religiaõ 	
usageExample:n0119.sg01.s99.u03		nomen sibi adoptare	 Nomen sibi adoptare 		i, alienum nomen assumere, suo immutato.
usageExample:n0119.sg01.s99.u04		ramus ramum adoptare	 ramus ramum adoptare 	 enxertar - se hum ramo em outro 	pro inseri
usageExample:n0123.sg01.s01.u01		cauendum, ne mures, aut lacertae columbariis adrepant, uel ad columbaria	 Cavendum , ne mures , aut lacertae columbariis adrepant , vel ad columbaria 		
usageExample:n0123.sg01.s01.u02		adrepere amicitiae alicuius, uel ad amicitiam	 Adrepere amicitiae alicujus , vel ad amicitiam 	 meter - se na amizade 	
usageExample:n0125.sg01.s01.u01		adscribe me socium tuis laudibus	 Adscribe me socium tuis laudibus 		
usageExample:n0125.sg01.s99.u01		in ciuitatem, ciuitati, uel ciuitate aliquem adscribere	 In civitatem , civitati , vel civitate aliquem adscribere 	 fazer a alguem cidadaõ 	
usageExample:n0125.sg01.s99.u02		in amicitiam me adscribito	 In amicitiam me adscribito 	 tomai - me por amigo 	
usageExample:n0125.sg01.s99.u03		adscripti milites	 Adscripti milites 		dicebantur, qui supplendis legionibus adscribebantur: quos & Accensos dicebant.
usageExample:n0125.sg01.s99.u04		adscribere aliquem numinibus	 Adscribere aliquem Numinibus 	 canonizar , ajuntar ao numero dos Santos 	
usageExample:n0126.sg01.s01.u01		felicitas alexandro adspirauit	 Felicitas Alexandro adspiravit 		
usageExample:n0126.sg01.s02.u01		pulmones adspirantes se contrahunt	 Pulmones adspirantes se contrahunt 		
usageExample:n0126.sg01.s99.u01		adspirare ad consulatum	 Adspirare ad consulatum 	 pertender , etc 	
usageExample:n0127.sg01.s99.u01		nostrae sententiae adstipulantur omnes	 Nostrae sententiae adstipulantur omnes 		
usageExample:n0128.sg01.s01.u01		dominorum mensis adstant famuli	 Dominorum mensis adstant famuli 		
usageExample:n0128.sg01.s01.u02		praetorum tribunali adstant apparitores	 Praetorum tribunali adstant apparitores 		
usageExample:n0129.sg01.s01.u01		adstrepebat ciceroni alacre uulgus	 Adstrepebat Ciceroni alacre vulgus 		
usageExample:n0129.sg01.s01.u02		multi principis aures irritis precibus adstrepebant	 Multi Principis aures irritis precibus adstrepebant 	 estrugiaõ , ou atroavaõ as orelhas do Principe com rogos baldados 	
usageExample:n0130.sg01.s01.u01		astringere fidem suam iure iurando	 Astringere fidem suam jure jurando 		
usageExample:n0130.sg01.s01.u02		adstringere frontem, uel supercilii uultum	 Adstringere frontem , vel supercilij vultum 	 fazer rugas na testa 	
usageExample:n0130.sg01.s99.u01		adstringere se scelere, adstringere se furti	 adstringere se scelere , adstringere se furti 	 cometter maldade , etc 	
usageExample:n0131.sg01.s01.u01		ego tuis rebus semper adero	 Ego tuis rebus semper adero 		
usageExample:n0131.sg01.s02.u01		concioni, & sacris omnibus adfui toto anno, uel ad concionem	 Concioni , & sacris omnibus adfui toto anno , vel ad concionem 		
usageExample:n0131.sg01.s02.u02		quaesitores eum adesse iusserunt	 Quaesitores eum adesse jusserunt 		i, apparere.
usageExample:n0131.sg01.s03.u01		ergo aderat promissa dies	 Ergo aderat promissa dies 		
usageExample:n0131.sg01.s03.u02		adsunt hostes	 Adsunt hostes 		i, jam sunt in itinere, vel non longè absunt.
usageExample:n0131.sg01.s99.u01		adesse animo, uel animis	 Adesse animo , vel animis 		est favere, seu attentum esse rei, cui intersis.
usageExample:n0131.sg01.s99.u02		ades animo, & omitte timorem	 Ades animo , & omitte timorem 	 animaivos , naõ temais 	
usageExample:n0132.sg01.s99.u01		sylla ex templo aedibus suis aduexit columnas	 Sylla ex templo aedibus suis advexit columnas 		
usageExample:n0134.sg01.s01.u01		tibi redeunti ab exilio nemo aduenit	 Tibi redeunti ab exilio nemo advenit 		
usageExample:n0135.sg01.s01.u01		tui familiares honori nostro sunt aduersarii	 Tui familiares honori nostro sunt adversarii 		
usageExample:n0136.sg01.s01.u01		noli familiari tuo aduersari	 Noli familiari tuo adversari 		
usageExample:n0137.sg01.s02.u01		reuerentia aduersùs homines	 Reverentia adversùs homines 	 para com os homem 	
usageExample:n0137.sg01.s03.u01		uenias aduersùm mihi	 Venias adversùm mihi 		
usageExample:n0138.sg01.s01.u01		uulgus quieti aduersum	 Vulgus quieti adversum 		
usageExample:n0138.sg01.s02.u01		septemtrioni est auster aduersus	 Septemtrioni est Auster adversus 	 ao Norte está opposto o Sul 	
usageExample:n0139.sg01.s01.u01		urbi agmen aduertere	 Urbi agmen advertere 		
usageExample:n0139.sg01.s01.u02		parsimoniae aduertere	 Parsimoniae advertere 		i, attendere.
usageExample:n0139.sg01.s01.u03		aduertere animum	 Advertere animum 	 advertir , dar attençaõ , ou entender 	
usageExample:n0140.sg01.s01.u01		canes dominis adulantur, uel dominos	 Canes dominis adulantur , vel dominos 		
usageExample:n0142.sg01.s01.u01		papilio lumini accenso aduolitat	 Papilio lumini accenso advolitat 	 a borboleta , etc 	
usageExample:n0143.sg01.s99.u01		caprimulgi caprarum uberibus aduolant	 Caprimulgi caprarum uberibus advolant 	 os corvos nocturnos , etc 	Striges vocantur ab Ovid. 6. Fast.
usageExample:n0144.sg01.s01.u01		igni ligna aduoluere	 Igni ligna advolvere 		
usageExample:n0154.sg01.s99.u01		aeginaea merces	 Aeginaea merces 		i, vilis.
usageExample:n0156.sg01.s99.u01		aegypti nuptiae	 Aegypti nuptiae 		id est, infelices: torqueri etiam potest in simulatam amicitiam, aut in munus honoris gratiâ datum in speciem, cùm re verâ quaeratur pernicies ei, cui datur.
usageExample:n0157.sg01.s01.u01		carthago fuit urbi romae aemula de terrarum imperio: uel urbis aemula	 Carthago fuit urbi Romae aemula de terrarum imperio : vel Urbis aemula 		
usageExample:n0164.sg01.s01.u01		uirgilius fuit aequalis homeri, uel homero	 Virgilius fuit aequalis Homeri , vel Homero 		
usageExample:n0164.sg01.s01.u02		homo aequalis ciceronis	 Homo aequalis Ciceronis 	 da idade de Cicero 	
usageExample:n0166.sg01.s01.u01		duo annuli ponderi duorum aureorum aequilibres	 Duo annuli ponderi duorum aureorum aequilibres 		
usageExample:n0167.sg01.s01.u01		quem regi henrico aequiparem?	 Quem Regi Henrico aequiparem ? 		
usageExample:n0168.sg01.s01.u01		turres solo aequare	 Turres solo aequare 	 pôr por terra 	
usageExample:n0168.sg01.s01.u02		operum laborem partibus aequare iustis	 Operum laborem partibus aequare justis 		aequaliter dividere.
usageExample:n0168.sg01.s01.u03		tenuiores se cum principibus aequari putant	 Tenuiores se cum principibus aequari putant 		
usageExample:n0168.sg01.s01.u04		bonitate aliquem aequare	 Bonitate aliquem aequare 	 ser igual a alguem na bondade 	
